id,createdAt,username,suspend,twitterId,tweetscout_score
clpub9egc0000suakdacbn2fa,2023-12-06T21:58:24.108Z,Kram710Sol,False,1395772855351009280,135.49538737536417
clpub9lbm0008suak1fwyzvac,2023-12-06T21:58:33.010Z,periwinkleplur,False,1156747678451023874,269.1988112900947
clpubak74000xoug1auelygjr,2023-12-06T21:59:18.209Z,soljoj,False,1170710398561136641,97.84681905918046
clpubin49000ihhtwzwvza2qs,2023-12-06T22:05:35.242Z,not_kala,False,2969100242,84.1486779456457
clpubjd0m000gsuaklor9soqd,2023-12-06T22:06:08.806Z,Why_De2,False,1144005321528156160,105.53672346628922
clpubok4o000f122h1a0u0cv9,2023-12-06T22:10:11.305Z,Bm3rv,True,1391031276279373824,147.16657229140046
clpubp7bq000c12jpo5e4pjpw,2023-12-06T22:10:41.367Z,nftteko,False,1480520052877189121,184.04618985461232
clpubprub0000w0i9iqgktbiv,2023-12-06T22:11:07.955Z,GuitNSM,False,224583184,0.0
clpubqk020000s7d420ug8dz7,2023-12-06T22:11:44.451Z,zkRedDevil,False,492534408,100.22973610660661
clpubrufs0008w0i9gxdjxjfg,2023-12-06T22:12:44.632Z,PWC5,False,116528983,153.28078809818274
clpubt6c6000es7d40wcfkvt1,2023-12-06T22:13:46.710Z,Lu_crypto_,False,950698722677153794,43.68065933568311
clpubunkk000mw0i99kf64vv2,2023-12-06T22:14:55.701Z,defilogist,False,1439699807799492608,72.20110802473879
clpuc5z4v000t12jpioayn5a2,2023-12-06T22:23:43.903Z,thomasbahamasfi,False,1360285318553870336,325.1507342756587
clpuc73km000ss7d4gamc70x1,2023-12-06T22:24:36.311Z,SolNogg,False,1434703775189639174,281.18677067031444
clpuc8akl001iw0i9mnrp4q1u,2023-12-06T22:25:32.037Z,7omCrypto,False,1004224164855676929,398.39804216386403
clpucgnsc0028w0i9wr7c0egv,2023-12-06T22:32:02.413Z,frumza,False,489729360,321.9611777839061
clpuckh6v001j12jp3xyojy49,2023-12-06T22:35:00.488Z,kev4evaa,False,1608231195476918272,291.8030157486382
clpuclukf001r12jpvrp06urv,2023-12-06T22:36:04.480Z,VctorDms,False,1477360021432373253,106.16967551989597
clpuct5ly000u771butqc38po,2023-12-06T22:41:45.383Z,cryptogirl3333,False,1143309343049146369,34.97141690009142
clpucxws0002cs7d4bnkjvfz5,2023-12-06T22:45:27.216Z,Seschapmur,False,1431732319849697280,0.0
clpud3kmt002t12jp51bbqssu,2023-12-06T22:49:51.414Z,DaniOnNFTs422,False,1498731272771936259,34.17601498127012
clpud84q1000un5aut2jz8oci,2023-12-06T22:53:24.074Z,turche4_,True,1270127114436706304,0.0
clpudfdjx002kn5au2ucbb59k,2023-12-06T22:59:02.110Z,RealFinancialE1,False,1264077801696657408,97.16995420396162
clpudfznm001ct2aluqz16wzt,2023-12-06T22:59:30.755Z,Doodle3536,False,772398710504484864,59.405386961116584
clpudiyci0009u04haceeb29h,2023-12-06T23:01:49.027Z,TomSmit28365458,False,1436007730641358854,26.832815729997478
clpudodol001au04hs7lnbvka,2023-12-06T23:06:02.182Z,degenmx,False,1405346930058747911,126.8818347912734
clpudtgwu002014lcsp5fuud8,2023-12-06T23:09:59.646Z,highlandervalue,True,1478658779969425410,34.0147027033899
clpudv6o4003bctwethhdryqt,2023-12-06T23:11:19.684Z,mrcryptobrando,False,1300123817503789056,48.78524367060187
clpudwabm0041ctwe6vm605vb,2023-12-06T23:12:11.074Z,ismailttb,False,1489285780057034761,142.95104056983985
clpudwtce001xb78p9i9kv7s7,2023-12-06T23:12:35.727Z,ShanksNft04,False,1488665556945358850,145.89722409970656
clpudx2dw0020u04hh1xzowro,2023-12-06T23:12:47.444Z,premtheceo,False,1629996954670309379,23.473389188611005
clpudx3dd0051n5aumcixkgut,2023-12-06T23:12:48.722Z,solzake,False,1463190352710422530,53.0
clpudydvv000fd1trmzyah4d1,2023-12-06T23:13:49.004Z,ItsGoldenWind,True,1598045523176525858,0.0
clpudyz0c000td1trpxal504a,2023-12-06T23:14:16.380Z,Pixelebs_DAO,False,1543426905449418752,0.0
clpudzo4n0010528efpfzp9t0,2023-12-06T23:14:48.936Z,RenZz00_,False,1513811090379091975,39.68626966596886
clpue0svg001c3tg3qpuc8d1s,2023-12-06T23:15:41.741Z,DLwaqi3,True,1512176766043013127,0.0
clpuelluj008qrfj8m1i4pyqh,2023-12-06T23:31:52.411Z,adilala64917829,False,1525284804484284416,0.0
clpueogxn005qd1tr6b8hkj8z,2023-12-06T23:34:05.950Z,0xmehdi1,False,1522987663002853377,56.07138307550475
clpueonal004e3tg3g59ol02b,2023-12-06T23:34:14.253Z,ascii_x341963,False,1409560649735213060,126.16259350536514
clpuf05wz007cd1tr6r8ko3jc,2023-12-06T23:43:11.604Z,rsadk64,False,1487533529881890818,200.46196646745736
clpuf06sr008zu04hgq3kudhf,2023-12-06T23:43:12.748Z,Viicri,False,1082327148428513282,0.0
clpuf0hx800773tg3mn7f3ndy,2023-12-06T23:43:27.165Z,mauricedotxyz,False,937660343853178880,444.4547221033882
clpuf28dj001fk3x3hah2ipbh,2023-12-06T23:44:48.103Z,0xTonyie,False,1619136483645857793,0.0
clpuf4rdr00bdu04hoi7d9aaq,2023-12-06T23:46:46.047Z,0x03soL,False,1493645187440074765,25.11971337416094
clpuf8hax0094d1trux7k90xw,2023-12-06T23:49:39.610Z,wewen157,False,1441454848608665612,0.0
clpufav4m0006qe1nj90r26ih,2023-12-06T23:51:30.838Z,0xEricuuuh,False,1433178234410184706,293.9472741836536
clpufbbmj009ld1trxtr2m33b,2023-12-06T23:51:52.220Z,PixelonDoge,False,1634263383070351374,0.0
clpufjc7t000011k7eaflzkx8,2023-12-06T23:58:06.233Z,JDerbs3,True,1432493964423278598,240.23530131935232
clpufkiem0049j9wouqvdox90,2023-12-06T23:59:00.911Z,restuprasetia5,False,1306955224595091463,0.0
clpufovyq00c879etv1et8unz,2023-12-07T00:02:25.107Z,glennhodlNFT,False,3888425501,185.43192821086663
clpuftg5h001ur6rd953oaj1l,2023-12-07T00:05:57.894Z,GetOnTheChain,False,1666475353,43.965895873961216
clpufugpm00byd1tr3i7pufka,2023-12-07T00:06:45.274Z,TFSOL8,False,62658851,85.81375181169973
clpufvbsm000rjd15e69vmg2a,2023-12-07T00:07:25.558Z,feus_eth,False,1444462087674253313,269.2675249635574
clpufvri6000zjd15ohs7eycg,2023-12-07T00:07:45.919Z,hatimelmejjad,False,1425474180313714698,0.0
clpufw44t00cud1tr30awwsce,2023-12-07T00:08:02.285Z,0xyako,True,1569930895414509568,0.0
clpug7eis00fzd1tr27wy7eod,2023-12-07T00:16:48.964Z,nonfungiblen00b,False,1518494871073529856,356.12919004204076
clpug7qnc000fmnin35s6k6i3,2023-12-07T00:17:04.680Z,SolDeeb,True,2857661955,48.249352327259274
clpugatnu00hku04hydtbkakq,2023-12-07T00:19:28.555Z,solnboss,False,1550979964626927616,0.0
clpugcb9i00d73tg3o22dcrw8,2023-12-07T00:20:38.023Z,sol_heisenberg,False,800684276,120.76423311560423
clpugdwi4000smnin22wwk8g9,2023-12-07T00:21:52.204Z,BrithCalin10,True,1645237443665223681,0.0
clpugfro00026mnin3p9lj1wh,2023-12-07T00:23:19.248Z,Chooi,False,19322354,166.82026255823962
clpugio43000612z1mgf8v46m,2023-12-07T00:25:34.611Z,orcaaa23,False,1459870611652677637,160.63000964950479
clpugjpjk005ijd15ztkvo8b8,2023-12-07T00:26:23.121Z,llsoyonall,False,1514384201860231169,67.40919818541087
clpugkw23002wys8l5ccp8gjo,2023-12-07T00:27:18.220Z,WoooooTe,False,161045312,432.5898750548838
clpugot0p000ffz614wonblw1,2023-12-07T00:30:20.905Z,mr_nobodySOL,False,1475013803175821312,86.92525524840292
clpugtak2006qjd15gw8yytme,2023-12-07T00:33:50.258Z,ScaleOrDie,False,2310869538,330.3150011731226
clpugv1z3007gjd15813b4u5b,2023-12-07T00:35:12.447Z,palcif136604,False,1708080607379533824,0.0
clpugwdhk00h63tg33qjhr4p9,2023-12-07T00:36:14.025Z,fudwic160620,True,1718329284111015936,0.0
clpugx85u00ht3tg3lfw17ixg,2023-12-07T00:36:53.779Z,Santi_Advisory,True,1664725473870348290,0.0
clpugxaju00005ekxhhn17q13,2023-12-07T00:36:56.874Z,BrainstormerQ,False,937113068768706560,96.39502061828712
clpuh4exr000or9vwku0tlhqw,2023-12-07T00:42:29.152Z,NftHellboy,False,1467875046760673281,219.3330800403806
clpuh9yxy001rww5e4r8xuwbp,2023-12-07T00:46:48.358Z,farazshkh1998,False,1720737345908113408,0.0
clpuhbdhx005ymnin4gu2n9m1,2023-12-07T00:47:53.878Z,stonkadamus,False,1267949204267130880,92.64987857520376
clpuhcdxo00ia3tg3wzlok1y3,2023-12-07T00:48:41.100Z,BigBicepsCrypto,False,35005030,349.8528261998179
clpuhdrnb0013jeyinl3trmp8,2023-12-07T00:49:45.527Z,notashenone,False,2509387159,742.6472917879657
clpuhes8n00j63tg30ml7ob7a,2023-12-07T00:50:32.951Z,WozveiPokemon,False,1692946518863482881,0.0
clpuhf84v001bjeyikqoavo67,2023-12-07T00:50:53.551Z,sleepersolana,False,3307716823,144.187378088375
clpuhmar10005vmkmg1n78ibz,2023-12-07T00:56:23.533Z,sol_huckster,False,1490056787915067403,249.1204527934228
clpuhmkpm000c11yxruymb2ew,2023-12-07T00:56:36.443Z,Mortadella_Man,False,1468524989766844417,141.48498153514387
clpuhnl7y000n11yx62g3msom,2023-12-07T00:57:23.758Z,EsteNFT,False,1237372369737572352,238.3904360497711
clpuhoyvw000svmkm4cvphvyb,2023-12-07T00:58:28.124Z,vussej26209,True,1708092004490432512,0.0
clpuhp52d0010vmkmukbla2du,2023-12-07T00:58:36.133Z,houssinema49434,False,1708116402257698817,0.0
clpuhp8xg0018vmkmqsl97rmg,2023-12-07T00:58:41.141Z,achraf07650051,False,1708139319846703104,0.0
clpuhq5pt001vvmkmqcmaf6d9,2023-12-07T00:59:23.633Z,LeasedFerrari,False,27401651,241.61539686038222
clpuhvubo0003316ktil8spx7,2023-12-07T01:03:48.733Z,immature69,False,508675922,492.2316527814927
clpuhvx41006qww5evtb3w3hw,2023-12-07T01:03:52.417Z,_phorkish,False,1476453438066028545,121.2023102090055
clpuhwe7m0000bhj68ffxqif9,2023-12-07T01:04:14.579Z,SProfessor_,False,1405173685158297600,0.0
clpuhwxr900455ekxxz2ias87,2023-12-07T01:04:39.909Z,Profinswift,False,1530016816332173312,0.0
clpuhxl5200005qlotyjmgiw1,2023-12-07T01:05:10.214Z,Forculus,False,263743667,889.1822085489565
clpui0bds005vr9vwstr87ezo,2023-12-07T01:07:17.537Z,VainsangNFT,False,326337224,220.02045359466015
clpui0il5005j5ekx6qf0voqm,2023-12-07T01:07:26.873Z,EverywhereBlud,False,1356988233553375234,0.0
clpui313i007nt0xdazs1uuvg,2023-12-07T01:09:24.175Z,Ruygye,False,1294728432031596544,315.48058577351475
clpui3m50005bvmkma5nr8fl3,2023-12-07T01:09:51.445Z,0xalls,False,1476588161476460545,206.5623392586364
clpui6esz0044jeyiu03gwbkm,2023-12-07T01:12:01.908Z,blak_smoke,False,252745352,132.27622613304328
clpui72pv0091t0xd8p5apzx4,2023-12-07T01:12:32.899Z,hkine_sol,False,981301428,219.71344974762013
clpui773e0099t0xdyvqjzm2l,2023-12-07T01:12:38.571Z,zthunderbirdz,False,1483888314465894406,132.43111416883875
clpui88rg002a316kd0yfa0cy,2023-12-07T01:13:27.388Z,BUYinOC,False,259568235,140.98581488930012
clpui8fm0004xjeyiwrdqp0yp,2023-12-07T01:13:36.264Z,Dvane,False,1109140294426157056,166.75431028911967
clpui8q5h003h5qlo17cfikgp,2023-12-07T01:13:49.926Z,tiparire,False,1464527928264384516,4.69041575982343
clpui8rtf00a4ww5exfhqemqk,2023-12-07T01:13:52.083Z,Antonina33526,True,1637132826846932992,0.0
clpuia18o003nbhj62o2uca2c,2023-12-07T01:14:50.953Z,YaeJayTho,False,2971013514,31.74901573277509
clpuiab8t0036316ky8nzaygf,2023-12-07T01:15:03.917Z,JoshGYankee,False,272765467,185.80635080642426
clpuiah0q009wybcq51cwt619,2023-12-07T01:15:11.402Z,fedeonekenoby,False,1445996164940247051,373.67900663537415
clpuicch8007vvmkmw1bnyq2z,2023-12-07T01:16:38.828Z,0xFangyuan,False,1471274656120385537,47.52893855326458
clpuideqv000issh7ab9invy3,2023-12-07T01:17:28.423Z,OJearving,False,1653280518740275203,0.0
clpuidw6i00ak5ekxt63ckrf7,2023-12-07T01:17:51.019Z,dissenTed,False,267376310,56.05354582896607
clpuie2pt000tssh7l0ge94ys,2023-12-07T01:17:59.489Z,cryptodrew1,False,1149772005924843521,141.10634287656953
clpuifnan00bfww5en3o2ff3y,2023-12-07T01:19:12.815Z,NFTDadd,False,1480251728700350471,197.5373382426725
clpuigfmz0016q28qnyhcsezz,2023-12-07T01:19:49.485Z,tigdie33124,True,1708184999126597632,0.0
clpuigh8q000mgc0ifp6uecrp,2023-12-07T01:19:51.626Z,wulboc136619,True,1708172433130172416,0.0
clpuigjp3001eq28qno9ax1z8,2023-12-07T01:19:54.808Z,depcaf47155,False,1708179058209542144,0.0
clpuiglcm00ba5ekxskyziefv,2023-12-07T01:19:56.950Z,0xicecream1,False,1473781664488865793,280.19457525084243
clpuihb8a000m6jzv2xx0zirb,2023-12-07T01:20:30.490Z,uncthesol,True,1633321104319082498,0.0
clpuihio60092vmkmbcarlhsj,2023-12-07T01:20:40.135Z,AnotherCryptoM1,False,1425602650473594882,255.34878108187633
clpuii5un001pq28qbgkod13x,2023-12-07T01:21:10.176Z,BeomheeL,False,1209456594251079680,48.53864439804639
clpuilbv500bx5ekxfcq53b0a,2023-12-07T01:23:37.937Z,Isis525189,True,1730176169348116480,0.0
clpuinrzl00ck5ekxk519nve2,2023-12-07T01:25:32.146Z,copzui18005,True,1732571708383428608,0.0
clpuinys2002iq28qx5d12uda,2023-12-07T01:25:40.946Z,levay23,False,1645167385496760322,0.0
clpuipweu009vr9vwb6lru4sr,2023-12-07T01:27:11.191Z,FadilXoi30355,False,1732571201980055552,0.0
clpuiqyo400d75ekxrvhiy2vn,2023-12-07T01:28:00.773Z,IvyIvy444,True,1431241884265971712,0.0
clpuird1y002l12n6ehk0xhsx,2023-12-07T01:28:19.414Z,KuslusE9f,False,1732572420467286016,0.0
clpuirjt900226jzv22k4duo4,2023-12-07T01:28:28.173Z,Rogelio10922032,True,1730048608941043712,0.0
clpuitfbz002768dp4dw04jvy,2023-12-07T01:29:55.679Z,0x99k,False,1433969732575662081,0.0
clpuiuejh003a12n659uz1e9p,2023-12-07T01:30:41.310Z,iNo_fensif,False,2458069412,29.376861643136763
clpuiugej001ogc0i2xj1yv88,2023-12-07T01:30:43.723Z,lolo1321765,True,1732573088053628928,0.0
clpuiuj5u0038q28qln6iadoq,2023-12-07T01:30:47.298Z,nugcor66157,False,1708211283940569088,0.0
clpuiv4xi00daww5eghkwly88,2023-12-07T01:31:15.510Z,holy_nfts_,False,1583623562715402240,94.64142856064674
clpuiv8pv000013ltytvalhdg,2023-12-07T01:31:20.419Z,Jane51452013715,False,1730068350745640960,0.0
clpuiwhnt00drww5e11e55ztb,2023-12-07T01:32:18.666Z,blockpal12345,False,1446203452024102919,72.75987905432498
clpuixn63003r12n6eypc6v55,2023-12-07T01:33:12.459Z,Kyckyc297601,False,1732573769120505856,0.0
clpuiyrls00ahr9vw0ghl80sj,2023-12-07T01:34:04.865Z,BaneRendflesh,False,1594787391981625351,194.05411616350733
clpuiyz2o004e12n6ahcwiivy,2023-12-07T01:34:14.545Z,Luda0x,False,25927080,426.9754091279731
clpuizewy000v13ltipc9qfaf,2023-12-07T01:34:35.074Z,kiki_mango28063,True,1732574028160749568,0.0
clpuizm8l001313ltbb8tahwe,2023-12-07T01:34:44.565Z,chain13x,False,1284083353717600256,41.0731055558257
clpuj3kqe000ltdha3307egcm,2023-12-07T01:37:49.238Z,DrewhssDrewhss1,False,1467845951561756674,149.25481566770299
clpuj3vph001fk4nxgh8kubn5,2023-12-07T01:38:03.461Z,alfonsobedonia,False,1008332725,262.8250368591242
clpuj4ryp0022k4nxu49bnrno,2023-12-07T01:38:45.266Z,TDegenCrypto,False,219453532,0.0
clpuj65i0002w13lt4qxe7cib,2023-12-07T01:39:49.464Z,degenheatheneth,False,1129153802081394689,81.87795796183488
clpuj6ebh002tylh6tpceya74,2023-12-07T01:40:00.893Z,fildarania29222,False,1732575463824871424,0.0
clpuj86dn001913ix09vtf3mw,2023-12-07T01:41:23.915Z,patchicho3,False,1568430801012015104,0.0
clpuj92b0002213ixt2km67am,2023-12-07T01:42:05.292Z,sampathhar72006,False,1732575986443587584,0.0
clpuj9abw000ibunkvaf1jmms,2023-12-07T01:42:15.693Z,0xKitzler,False,1553651014724878336,59.464274989274024
clpujaepu00339tyw1sldrym8,2023-12-07T01:43:08.034Z,SerConnorr,False,1284294262398615558,470.4221508390097
clpujbntt003u107zet2tgnyw,2023-12-07T01:44:06.497Z,NFTNoobies,False,1422892068024770560,273.0238084856337
clpujcemu004vk4nxt4tbyn5j,2023-12-07T01:44:41.238Z,Tddd_2,False,1019576023237554176,50.438080851673966
